skill,level
iOS,3
Objective-C,3
Swift,3
SwiftUI,3
TypeScript,2
JavaScript,2
React,2
Express,2
Flutter,2
Dart,2
Angular,1
Android,1
Kotlin,1
Java,1
Python,1
C,1
